Title,Show,Season,Episode,URL,target
Awkward.,Awkward.,2,12,https://www.mtv.com/episodes/h5rsvu, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,2,2,https://www.mtv.com/episodes/pjx664, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,2,4,https://www.mtv.com/episodes/jy1awz, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,2,5,https://www.mtv.com/episodes/v4n6qf, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,2,6,https://www.mtv.com/episodes/q4ha1h, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,2,7,https://www.mtv.com/episodes/1bylcz, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,2,8,https://www.mtv.com/episodes/u67ugm, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,2,9,https://www.mtv.com/episodes/vavzfa, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,3,1,https://www.mtv.com/episodes/pp18kt, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,3,10,https://www.mtv.com/episodes/a2y07c, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,3,11,https://www.mtv.com/episodes/olvnh2, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,3,12,https://www.mtv.com/episodes/dsmma6, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,3,13,https://www.mtv.com/episodes/8h42ko, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,3,14,https://www.mtv.com/episodes/nxm0wx, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,3,15,https://www.mtv.com/episodes/dqwgbe, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,3,16,https://www.mtv.com/episodes/71wlu5, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,3,17,https://www.mtv.com/episodes/bz0rgy, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,3,18,https://www.mtv.com/episodes/8vu19q, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,3,19,https://www.mtv.com/episodes/lua6qu, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,3,2,https://www.mtv.com/episodes/yaesz4, https://www.paramountplus.com/shows/awkward/
Awkward.,Awkward.,3,20,https://www.mtv.com/episodes/gv3xho, https://www.paramountplus.com/shows/awkward/
